dates,model,predictions,lower,upper
2023-05-28,RF - cluster,459.12,0.0,1858.939013559907
2023-06-04,RF - cluster,634.88,0.0,1734.1083173300035
2023-06-11,RF - cluster,553.59,0.0,1405.5102522469642
2023-06-18,RF - cluster,622.93,0.0,1557.4122081765247
2023-06-25,RF - cluster,364.54,0.0,1181.9861565503168
2023-07-02,RF - cluster,339.61,0.0,1235.5079535108052
2021-12-26,DL - cluster,212.75368109345436,64.83329280614853,331.8977052748201
2022-01-02,DL - cluster,232.7469141036272,43.72348668351769,365.5308578394353
2022-01-09,DL - cluster,270.09793651103973,90.19515525400638,404.365923115611
2022-01-16,DL - cluster,270.4569136053324,97.82457151934506,384.1780810952186
2022-01-23,DL - cluster,252.7415178269148,121.95920053571461,394.6566702798009
2022-01-30,DL - cluster,260.4058890044689,115.41656280234457,359.35257811322805
2022-02-06,DL - cluster,314.77256390452385,111.60191370248793,550.020326808095
2022-02-13,DL - cluster,347.2816862165928,174.60493820905685,521.8054609313606
2022-02-20,DL - cluster,302.5679762214422,135.76480417400597,429.1811060100793
2022-02-27,DL - cluster,301.39444997906685,180.28399788364766,481.1251698806881
2022-03-06,DL - cluster,296.8893536776304,132.6469334729016,438.52625943124286
2022-03-13,DL - cluster,292.58659306168556,143.16252039298416,475.39258961826556
2022-03-20,DL - cluster,388.2643957436085,240.8485715612769,597.7182197809219
2022-03-27,DL - cluster,390.194221585989,214.40070463120935,578.5376019462941
2022-04-03,DL - cluster,391.81184735894203,202.98422054797413,605.9883263617753
2022-04-10,DL - cluster,397.2043709754944,165.2080230899155,596.9943761333823
2022-04-17,DL - cluster,460.5493319630623,271.390053626895,786.6188710451123
2022-04-24,DL - cluster,591.0573004484177,298.582575430721,953.4351362824439
2022-05-01,DL - cluster,780.0421019792557,459.64206386357546,1185.1222034871578
2022-05-08,DL - cluster,924.6448254585266,563.6612813085317,1703.6978484988213
2022-05-15,DL - cluster,1272.4345048666,678.9558327898383,2074.7409870862953
2022-05-22,DL - cluster,1509.4951683282852,783.8184523180126,2510.792934262752
2022-05-29,DL - cluster,1726.5272942781448,878.3409292936326,2604.951415491102
2022-06-05,DL - cluster,1862.921865105629,968.323193219304,2907.0459335803985
2022-06-12,DL - cluster,2065.834125518799,1163.1254670768976,3034.0251842975604
2022-06-19,DL - cluster,1474.466560125351,937.6797888427973,2137.146472823619
2022-06-26,DL - cluster,1180.63671875,652.0676248475909,1808.6697864294047
2022-07-03,DL - cluster,1091.0298620462418,706.5316917940975,1957.1895518541335
2022-07-10,DL - cluster,857.0853478312492,537.6570600762964,1405.174537980556
2022-07-17,DL - cluster,788.6010650396347,549.7491813242436,1279.6015882372844
2022-07-24,DL - cluster,672.44994571805,451.90972720086575,1135.5853318512434
2022-07-31,DL - cluster,498.35129594802856,321.7395582921803,696.4366523280738
2022-08-07,DL - cluster,420.9138836860657,277.25079326182606,600.2284297451376
2022-08-14,DL - cluster,347.5053313076496,223.113298714906,487.36615454852586
2022-08-21,DL - cluster,311.453894674778,164.90823085382578,454.41086166203
2022-08-28,DL - cluster,350.44441667199135,173.74929070472717,482.7339758634567
2022-09-04,DL - cluster,299.66398802399635,128.12856371551754,417.4030116811394
2022-09-11,DL - cluster,306.1337769627571,141.96585501581433,444.54426247924545
2022-09-18,DL - cluster,275.16998970508575,112.53756996169687,400.7207799702881
2022-09-25,DL - cluster,240.57983691990376,99.4213376879692,370.19796033650636
2022-10-02,DL - cluster,243.01361292600632,64.91173100024463,414.558507825434
2022-10-09,DL - cluster,218.0910536646843,73.01443492248654,362.85556851774453
2022-10-16,DL - cluster,212.5342978835106,88.82747786566614,357.01004437431675
2022-10-23,DL - cluster,205.1219766587019,26.477978847920895,363.908840025216
2022-10-30,DL - cluster,185.57856792211533,11.345204697549345,330.55814651101815
2022-11-06,DL - cluster,191.51839770376682,8.96722132265568,319.06419409960506
2022-11-13,DL - cluster,192.63172775506973,29.813057471811774,325.20747111141674
2022-11-20,DL - cluster,191.4689483642578,26.83509684056044,336.5501060098408
2022-11-27,DL - cluster,178.2284816801548,12.214709074795248,304.70145720466974
2022-12-04,DL - cluster,201.3799528926611,73.90965399295092,356.41231900379057
2022-12-11,DL - cluster,217.062016710639,25.047519343346355,348.06863680481905
2022-12-18,DL - cluster,237.56152664124966,93.8086850322783,360.8052005514502
2022-12-25,DL - cluster,239.9426165819168,71.31531103998424,348.9855523057281
2023-01-01,DL - cluster,214.97294625639915,81.90724898427726,358.71539636254295
2023-01-08,DL - cluster,193.2625898271799,18.374306787550452,321.07655472531906
2023-01-15,DL - cluster,171.23441225290298,60.17218919470906,317.5422130018472
2023-01-22,DL - cluster,242.33309417963028,22.062892323732378,376.769968190044
2023-01-29,DL - cluster,253.60200314223766,118.48668949231507,429.49966664910306
2023-02-05,DL - cluster,280.9904868155718,126.57174692302942,502.78152366876554
2023-02-12,DL - cluster,373.69796569645405,211.73512433543803,552.482757629454
2023-02-19,DL - cluster,375.8754068315029,190.77725254669787,593.8653387278316
2023-02-26,DL - cluster,391.0581164062023,229.25783586129546,610.1822846084833
2023-03-05,DL - cluster,484.52780392766,261.805367513001,830.2413851261128
2023-03-12,DL - cluster,402.3309992849827,196.96966386437418,642.4584190949796
2023-03-19,DL - cluster,468.41667234897614,255.124601636827,787.2837095245717
2023-03-26,DL - cluster,523.9329263269901,292.2502488598227,854.6311401367183
2023-04-02,DL - cluster,774.8680861592293,393.06816812902684,1405.5523802340024
2023-04-09,DL - cluster,980.5427366495132,568.4886265039445,1608.7975880146025
2023-04-16,DL - cluster,882.7314593195915,548.6988211423159,1482.4652010053387
2023-04-23,DL - cluster,736.4717164635658,445.0183276414871,1133.528022778034
2023-04-30,DL - cluster,489.9898768365383,334.67005260363226,853.2254150927063
2023-05-07,DL - cluster,432.0093110501766,277.5174833521247,652.9113206550471
2023-05-14,DL - cluster,301.8570368587971,144.33538431599737,484.4290676608678
2023-05-21,DL - cluster,268.70572969317436,119.95566545948385,406.80267898291345
2023-05-28,DL - cluster,300.8017029464245,134.1383424848318,435.39121968448137
2023-06-04,DL - cluster,304.6028862297535,158.26475010216234,426.87281245440226
2023-06-11,DL - cluster,346.0687663704157,160.5598122447729,536.1597195625299
2023-06-18,DL - cluster,343.6939655840397,191.55297941341996,543.7375112012028
2023-06-25,DL - cluster,363.17982740700245,180.02878377214074,503.3178215101361
2023-07-02,DL - cluster,337.55720233917236,179.43786992430688,502.8789675489066
